
> clarify-my-web@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.16.254.230:3000
- Environments: .env.local
✓ Ready in 125ms
✓ Running next.config.ts took 12ms

 GET /form 200 in 192ms (next.js: 70ms, application-code: 122ms)
 GET /about 200 in 49ms (next.js: 8ms, application-code: 41ms)
 GET / 200 in 56ms (next.js: 10ms, application-code: 46ms)
 GET /form 200 in 7ms (next.js: 1.3ms, application-code: 6ms)
[browser] Detected `scroll-behavior: smooth` on the `<html>` element. To disable smooth scrolling during route transitions, add `data-scroll-behavior="smooth"` to your <html> element. Learn more: https://nextjs.org/docs/messages/missing-data-scroll-behavior
 GET / 200 in 6ms (next.js: 1.8ms, application-code: 5ms)
 GET /form 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /about 200 in 40ms (next.js: 3ms, application-code: 37ms)
 GET / 200 in 14ms (next.js: 3ms, application-code: 11ms)
[browser] Detected `scroll-behavior: smooth` on the `<html>` element. To disable smooth scrolling during route transitions, add `data-scroll-behavior="smooth"` to your <html> element. Learn more: https://nextjs.org/docs/messages/missing-data-scroll-behavior
 GET /form 200 in 17ms (next.js: 4ms, application-code: 13ms)
 GET /?view=history 200 in 15ms (next.js: 3ms, application-code: 13ms)
 GET /form 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /form 200 in 13ms (next.js: 2ms, application-code: 11ms)
 GET /?view=history 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /saved 200 in 20ms (next.js: 10ms, application-code: 9ms)
 GET /faq 200 in 23ms (next.js: 12ms, application-code: 11ms)
 GET /saved 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /faq 200 in 14ms (next.js: 2ms, application-code: 12ms)
 GET /about 200 in 14ms (next.js: 3ms, application-code: 12ms)
 GET /faq 200 in 13ms (next.js: 3ms, application-code: 11ms)
 GET /about 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /form 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /?view=history 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /saved 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /about 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /faq 200 in 15ms (next.js: 4ms, application-code: 11ms)
 GET /about 200 in 16ms (next.js: 3ms, application-code: 13ms)
 GET / 200 in 13ms (next.js: 2ms, application-code: 10ms)
 GET /form 200 in 17ms (next.js: 4ms, application-code: 12ms)
 GET / 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /form 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /?view=history 200 in 16ms (next.js: 5ms, application-code: 10ms)
 GET /faq 200 in 10ms (next.js: 1.7ms, application-code: 8ms)
 GET /about 200 in 11ms (next.js: 2ms, application-code: 8ms)
 GET / 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /form 200 in 17ms (next.js: 3ms, application-code: 14ms)
 GET /?view=history 200 in 15ms (next.js: 3ms, application-code: 12ms)
 GET /form 200 in 6ms (next.js: 1.1ms, application-code: 5ms)
 GET / 200 in 13ms (next.js: 3ms, application-code: 11ms)
 GET /form 200 in 14ms (next.js: 3ms, application-code: 12ms)
✓ Compiled in 32ms
 GET /form 200 in 17ms (next.js: 1.5ms, application-code: 16ms)
 GET /form 200 in 10ms (next.js: 1.2ms, application-code: 9ms)
✓ Compiled in 23ms
 GET / 200 in 44ms (next.js: 6ms, application-code: 38ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
